block_number,old_block_id,new_block_id,old_block_hash,new_block_hash,body_identical,hash_match
75,seal-C-345-075,seal-C-345-075,sha256:598d13ccacba0163f1d2860320294926e6dcceae588cb315e315c7ac1d62197c,sha256:cef0ad3fe5812a3fb3acdea860dc658767ef8b5d723b79de4cfc4737eb634aec,True,False
76,seal-C-345-076,seal-C-345-076,sha256:c253cab3d65fbc80c82d8223ac43f9958cbabf0ad9224c7fee77315fd05c548c,sha256:6dde7a1f6aa029c01d4071501845c8bb0b028a3dd88633def19705a6d6c4618d,True,False
77,seal-C-346-077,seal-C-346-077,sha256:26761cd73e18903660f293724f4f770e3bcbda3096a4a7d25823a120caa820b4,sha256:b059c22c1e5b5e0683f45e6fc16f42e6819c041dbaaa437f87a5709a6751a006,True,False
78,seal-C-346-078,seal-C-346-078,sha256:7f6070621eaf864036cc24a4f8967773e6239f50ca6dfb3d71b3748725be4470,sha256:275393abe94456277c80d05648b7dd9663aff0f84f031d2432ab7d86d3207e17,True,False
79,seal-C-346-079,seal-C-346-079,sha256:8b9779173305c88306b711054bde6eecd5cb101da7b1a77085708e95a76ffc16,sha256:65eac5985c7ac4db0e601e934c12d189c497c30f9e5eb8929f74f7342e67fca3,True,False
80,seal-C-346-080,seal-C-346-080,sha256:ed6eea1d7a13d58d6a55bc899606e6331528a3e0c1e4829e44b285794217c2c5,sha256:a0a78aa1881ace03a55731b1a1ac4bdc7b0d5c14da3649b2419b3f8481089c79,True,False
81,seal-C-346-081,seal-C-346-081,sha256:76107ff6fcd607cc9985db0ec424ca30bc3e6aa2f8c1328bb51a158416ec6e52,sha256:5cf9b179ed0cde9aca4df6e9bb3992ba5d3cc3c3df9add59c573241baa2f71ec,True,False
82,seal-C-347-082,seal-C-347-082,sha256:f22ef14a12866343373ca29474ab11f7196abbd7231ede91b20cd0e1d032c2de,sha256:c82ff363da3d9f8178732273be073db71ea8af7e72554da3959ee7afd53e48ec,True,False
83,seal-C-347-083,seal-C-347-083,sha256:be4f33f1d97d826f61c88d1fc44c00c91e7c972109bb647c64519b57983b75b5,sha256:ae3e8dfd7bf88382fa2000b76d2f739fa9be3349e28b6e28ed79f48e97b53040,True,False
84,seal-C-347-084,seal-C-347-084,sha256:c09d399a137fe6902113aa6322b1ea3afcb9043a7a844deb40e7bc19b2f684d7,sha256:6eadc97f9d813d3f29f14cf9f005cc856269e5342a74dff0e4cd0826e2dfff8f,True,False
85,seal-C-347-085,seal-C-347-085,sha256:20ee9f62237dc6595fcfd4d80b6bf35c78053599b94ab66a5bbf252cc3143c0f,sha256:d7cd7c75bf2768bb5ca1e89fb709abc666e2ae4f31fd50ca33baa14ac95abf0c,True,False
86,seal-C-347-086,seal-C-347-086,sha256:0476105af54ff18378c35861418a280cf78251c9573446c7b0782674467dfedb,sha256:fed3d8b7c02da8fbdb7578aeca058b70cd9d6ab9cc28d9eb487828e4f1797ec0,True,False
87,seal-C-348-087,seal-C-348-087,sha256:f2402f431c27e47797796383571f810adefe8c69256f1854639aebe00a42abec,sha256:d415869c79f5e1ad5778d351d1b7e094cfbec4a1109af071dd18b30eb4bd4cdc,True,False
88,seal-C-348-088,seal-C-348-088,sha256:1da30fe77e5395f9878e363f9def85400c940e22996311316b2057c5fb4a8ec3,sha256:ee03949fc4d2facf87f05330d5b5bd9b9f0501dbdbd875d4a189925b3fd4f9ab,True,False
89,seal-C-348-089,seal-C-348-089,sha256:a6ef4b3b5319dd6665d259cc8799e016d735f94d649ab2dd6c443f5574158589,sha256:07241b20a319943915499056d2c12d06970c4244b751cfa2891b3cd74616570c,True,False
90,seal-C-348-090,seal-C-348-090,sha256:af6e6996ec50289b97b4f156ad051ebdd5990a93da7f210c1f365d53598de4ac,sha256:5d53c3eded7c15c50333a44928f34604c1a548c802565e57f3c9c6390d9c4920,True,False
91,seal-C-348-091,seal-C-348-091,sha256:2bb6094e5a15beea13ccc4641dc2a06a2e0f87d376ad73b7859ecef9e6f9384d,sha256:eb29b9df83f6fa35979230dbad52100dc76cf7ac4120614a71934a06b5bc586c,True,False
92,seal-C-348-092,seal-C-348-092,sha256:6f24b5166c522745557692157feb06c58a193c437c6bf443bb39a2ee2c756435,sha256:da8a6e2e23f1a852779100ceeb1e0a5b22abe01acc0e4dde332fcb5ff5f10f9a,True,False
93,seal-C-349-093,seal-C-349-093,sha256:9ecee0b8e1b6d49eed0995352508a3ef92e9706b8cf8624c9f94689812d0f2fb,sha256:4573e5a82f22be8abca7abf8a7b0ec1a85a4a5a4e77524993eb8d320edc56375,True,False
94,seal-C-349-094,seal-C-349-094,sha256:e0faba4047f0ee13c6748d7f9a3457c0a0be02a639061565149be501eb0a126c,sha256:5dcd13c2521f3307a1b33f2881a8bdce9ce22e0523e1abbdb7917d92e5976b80,True,False
95,seal-C-349-095,seal-C-349-095,sha256:54cea0cdb91f2867addfbf999cd105fb46d4cea039cbb31573756911bef6470c,sha256:2a51349d0bbe127e2cd580ddd7740abe66df1a92fdbafc9c750a4d961506a9ad,True,False
96,seal-C-349-096,seal-C-349-096,sha256:5146852a2980965acdee51179200fe030af15336c1570385a02f3fe1b8e0de37,sha256:465be0fe52d7d6e981caeda3f43eb2d11f8f175b0a6feecb9d55a51de28e8f89,True,False
97,seal-C-349-097,seal-C-349-097,sha256:494bd3b0754312aad4647916e91ce2db148fe1b0f2ef7d34606feee87d55eb4b,sha256:f1ea66598a01f102581e851d926e8509975aae14af6e78aea66129a3914eb44a,True,False
